"id","uid","available_power","total_runtime","utilized_power","water_yield","created_at"
"2","865357060803978","252","241","95","42175","2025-07-19 00:00:01"
"3","865357060805841","510","310","60","54250","2025-07-19 00:00:01"
"4","865357060804091","389","9","2","1575","2025-07-19 00:00:03"
"5","865357060804927","401","10","2","1750","2025-07-19 00:00:08"
"6","865357060804075","0","0","0","0","2025-07-19 00:00:09"
"7","865357062790884","3","1","33","175","2025-07-19 05:34:16"
"8","865357060805544","314","232","73","40600","2025-07-19 08:42:26"
"9","865357060805619","689","2","0","350","2025-07-20 00:00:00"
"10","865357062790884","830","99","11","17325","2025-07-20 00:00:04"
"11","865357060804075","0","0","0","0","2025-07-20 00:00:04"
"12","865357060804927","830","267","32","46725","2025-07-20 00:00:05"
"13","865357062794134","243","243","100","42525","2025-07-20 00:00:07"
"14","865357060806146","196","196","100","34300","2025-07-20 00:00:09"
"15","865357060804091","830","234","28","40950","2025-07-20 00:00:09"
"16","865357062793250","521","514","98","89950","2025-07-20 00:00:10"
"17","865357060803978","1440","593","41","103775","2025-07-20 00:00:10"
"18","865357060805544","830","500","60","87500","2025-07-20 00:00:12"
"19","865357060805841","830","269","32","47075","2025-07-20 00:00:12"
"20","865357060805288","107","107","100","18725","2025-07-20 00:00:13"
"21","865357060803911","21","5","23","875","2025-07-20 06:27:33"
"22","865357060805635","2","1","50","175","2025-07-20 08:21:17"
"23","865357060803820","2","2","100","2570","2025-07-20 16:34:50"
"24","865357060804927","1439","316","21","55300","2025-07-21 00:00:02"
"25","865357060804091","1439","229","15","40075","2025-07-21 00:00:02"
"26","865357060804075","0","0","0","0","2025-07-21 00:00:04"
"27","865357062793250","527","514","97","89950","2025-07-21 00:00:09"
"28","865357060803978","518","218","42","38150","2025-07-21 00:00:11"
"29","865357060805544","1440","521","36","91175","2025-07-21 00:00:12"
"30","865357060805288","473","473","100","82775","2025-07-21 00:00:12"
"31","865357060805619","1440","296","20","51800","2025-07-21 00:00:13"
"32","865357060806146","707","707","100","123725","2025-07-21 00:00:13"
"33","865357062790884","1440","79","5","13825","2025-07-21 00:00:14"
"34","865357060805841","1440","78","5","13650","2025-07-21 00:00:16"
"35","865357062794134","7","7","100","1225","2025-07-21 05:56:51"
"36","865357060805635","847","846","99","148050","2025-07-21 06:37:36"
"37","865357060803911","572","437","76","76475","2025-07-21 08:49:32"
"38","865357060803820","321","321","100","412485","2025-07-21 08:51:55"
"39","865357062793227","650","375","57","65625","2025-07-22 00:00:00"
"40","865357060804919","602","4","0","700","2025-07-22 00:00:00"
"41","865357062790884","753","1","0","175","2025-07-22 00:00:01"
"42","865357062793300","720","246","34","43050","2025-07-22 00:00:02"
"43","865357060805288","651","651","100","113925","2025-07-22 00:00:03"
