category,Available Power (hrs),Total Runtime (hrs)
15-Sep-2025,24,8.166666666666666
16-Sep-2025,16.05,0
17-Sep-2025,15.483333333333333,6.45
18-Sep-2025,23.983333333333334,5.55
19-Sep-2025,24,5.4
20-Sep-2025,7.8,0.16666666666666666
21-Sep-2025,24,3.816666666666667
22-Sep-2025,23.983333333333334,0
23-Sep-2025,11.566666666666666,0
24-Sep-2025,23.983333333333334,6.15
25-Sep-2025,24,0
26-Sep-2025,13.15,1.2333333333333334
27-Sep-2025,23.983333333333334,10.483333333333333
28-Sep-2025,6.783333333333333,0
29-Sep-2025,24,4.133333333333334
30-Sep-2025,24,3.45
01-Oct-2025,11.25,0
02-Oct-2025,24,3.5166666666666666
03-Oct-2025,24,3.95
04-Oct-2025,23.983333333333334,0
05-Oct-2025,8.383333333333333,1.2833333333333334
06-Oct-2025,23.983333333333334,9.5
07-Oct-2025,24,0
08-Oct-2025,9.816666666666666,1.6833333333333333
09-Oct-2025,5.166666666666667,5.166666666666667
10-Oct-2025,5.983333333333333,0
11-Oct-2025,14.166666666666666,0
12-Oct-2025,12.533333333333333,8.05
13-Oct-2025,23.983333333333334,0
14-Oct-2025,24,8.3
15-Oct-2025,23.983333333333334,6.7
