category,Water Yield
15-Sep-2025,82.841
16-Sep-2025,0
17-Sep-2025,65.183
18-Sep-2025,55.372
19-Sep-2025,54.027
20-Sep-2025,1.633
21-Sep-2025,38.575
22-Sep-2025,0
23-Sep-2025,0
24-Sep-2025,61.741
25-Sep-2025,0
26-Sep-2025,12.576
27-Sep-2025,106.774
28-Sep-2025,0
29-Sep-2025,40.925
30-Sep-2025,34.058
01-Oct-2025,0
02-Oct-2025,34.979
03-Oct-2025,40.709
04-Oct-2025,0
05-Oct-2025,13.366
06-Oct-2025,96.218
07-Oct-2025,0
08-Oct-2025,16.824
09-Oct-2025,53.216
10-Oct-2025,0
11-Oct-2025,0
12-Oct-2025,83.353
13-Oct-2025,0
14-Oct-2025,85.532
15-Oct-2025,67.39
